entities,group,test,framework,unit,timestamp,median,ci_lower,ci_upper,rounds
100,component,add,evolved-batch,s,2026-03-15 12:43:48Z,4.58e-7,4.58e-7,4.58e-7,1000
100,component,add,evolved-nobatch,s,2026-03-15 12:43:51Z,4.708e-6,4.708e-6,4.708e-6,1000
100,component,add,lovetoys-batch,s,2026-03-15 12:43:54Z,0.000049896,0.000049708,0.0000504165,1000
100,component,add,lovetoys-nobatch,s,2026-03-15 12:44:05Z,0.000046167,0.000046083,0.000046292,1000
100,component,add,nata,s,2026-03-15 12:44:16Z,4.333e-6,4.333e-6,4.333e-6,1000
100,component,add,tinyecs,s,2026-03-15 12:44:19Z,3.833e-6,3.792e-6,3.833e-6,1000
100,component,add,concord,kb,2026-03-15 12:44:56Z,28.9609,28.9609,28.9609,415
100,component,add,concord-no-serialize,kb,2026-03-15 12:45:17Z,28.9609,28.9609,28.9609,100
100,component,add,ecs-lua-batch,kb,2026-03-15 12:45:34Z,67.1563,67.1563,67.1563,122
100,component,add,ecs-lua-nobatch,kb,2026-03-15 12:46:01Z,67.1563,67.1563,67.1563,100
100,component,add,evolved-batch,kb,2026-03-15 12:46:27Z,0.3672,0.3672,0.3672,100
100,component,add,evolved-nobatch,kb,2026-03-15 12:46:32Z,0.0001,0.0001,0.0001,836
100,component,add,lovetoys-batch,kb,2026-03-15 12:46:39Z,43.75,43.75,43.75,471
100,component,add,lovetoys-nobatch,kb,2026-03-15 12:46:53Z,35.1563,35.1563,35.1563,100
100,component,add,nata,kb,2026-03-15 12:47:05Z,10.9375,10.9375,10.9375,100
100,component,add,tinyecs,kb,2026-03-15 12:47:09Z,12.0703,12.0703,12.0703,159
100,component,remove,concord,s,2026-03-15 12:47:12Z,0.001086417,0.0010685,0.001093958,199
100,component,remove,concord-no-serialize,s,2026-03-15 12:47:22Z,0.000862125,0.000764375,0.001035542,167
100,component,remove,ecs-lua,s,2026-03-15 12:47:32Z,0.00004175,0.000041625,0.000041875,861
100,component,remove,evolved-batch,s,2026-03-15 12:47:45Z,9.17e-7,9.17e-7,9.17e-7,1000
100,component,remove,evolved-nobatch,s,2026-03-15 12:47:48Z,4.208e-6,4.208e-6,4.208e-6,1000
100,component,remove,lovetoys,s,2026-03-15 12:47:51Z,0.000030167,0.000030083,0.000030208,1000
100,component,remove,nata,s,2026-03-15 12:48:01Z,2.167e-6,2.167e-6,2.167e-6,1000
100,component,remove,tinyecs,s,2026-03-15 12:48:04Z,1.625e-6,1.583e-6,1.625e-6,1000
100,component,remove,concord,kb,2026-03-15 12:48:25Z,3.9609,3.9609,3.9609,412
100,component,remove,concord-no-serialize,kb,2026-03-15 12:48:46Z,3.9609,3.9609,3.9609,100
100,component,remove,ecs-lua,kb,2026-03-15 12:49:03Z,23.4063,23.4063,23.4063,122
100,component,remove,evolved-batch,kb,2026-03-15 12:49:30Z,0.3672,0.3672,0.3672,100
100,component,remove,evolved-nobatch,kb,2026-03-15 12:49:35Z,0.0001,0.0001,0.0001,836
100,component,remove,lovetoys,kb,2026-03-15 12:49:42Z,15.625,15.625,15.625,478
100,component,remove,nata,kb,2026-03-15 12:49:56Z,0.0001,0.0001,0.0001,100
100,component,remove,tinyecs,kb,2026-03-15 12:49:59Z,1.1328,1.1328,1.1328,171
100,tag,has,concord,s,2026-03-15 12:50:03Z,0.000014729,0.0000145,0.000014854,212
100,tag,has,concord-no-serialize,s,2026-03-15 12:50:12Z,0.000014792,0.000014708,0.000014958,274
100,tag,has,ecs-lua,s,2026-03-15 12:50:20Z,1.417e-6,1.375e-6,1.417e-6,968
100,tag,has,evolved,s,2026-03-15 12:50:33Z,3.33e-7,3.33e-7,3.33e-7,1000
100,tag,has,lovetoys,s,2026-03-15 12:50:36Z,3.33e-7,3.33e-7,3.33e-7,1000
100,tag,has,nata,s,2026-03-15 12:50:49Z,1.25e-7,1.25e-7,1.25e-7,1000
100,tag,has,tinyecs,s,2026-03-15 12:50:52Z,1.25e-7,1.25e-7,1.25e-7,1000
100,tag,has,concord,kb,2026-03-15 12:50:59Z,0.0001,0.0001,0.0001,368
100,tag,has,concord-no-serialize,kb,2026-03-15 12:51:19Z,0.0001,0.0001,0.0001,100
100,tag,has,ecs-lua,kb,2026-03-15 12:51:36Z,8.5938,8.5938,8.5938,126
100,tag,has,evolved,kb,2026-03-15 12:52:02Z,0.0001,0.0001,0.0001,100
100,tag,has,lovetoys,kb,2026-03-15 12:52:07Z,0.0001,0.0001,0.0001,484
100,tag,has,nata,kb,2026-03-15 12:52:20Z,0.0001,0.0001,0.0001,100
100,tag,has,tinyecs,kb,2026-03-15 12:52:24Z,0.0001,0.0001,0.0001,173
100,tag,add,concord,s,2026-03-15 12:52:27Z,0.0002396875,0.000234125,0.000245917,204
100,tag,add,concord-no-serialize,s,2026-03-15 12:52:37Z,0.000243083,0.000236583,0.000258042,153
100,tag,add,ecs-lua-batch,s,2026-03-15 12:52:46Z,0.000055417,0.0000551875,0.000055667,918
100,tag,add,ecs-lua-nobatch,s,2026-03-15 12:53:00Z,0.000059583,0.000059458,0.00005975,989
100,tag,add,evolved-batch,s,2026-03-15 12:53:17Z,5.42e-7,5.42e-7,5.42e-7,1000
100,tag,add,evolved-nobatch,s,2026-03-15 12:53:20Z,4.25e-6,4.25e-6,4.25e-6,1000
100,tag,add,lovetoys-batch,s,2026-03-15 12:53:23Z,0.000049333,0.000049208,0.000049417,1000
100,tag,add,lovetoys-nobatch,s,2026-03-15 12:53:33Z,0.000044167,0.000044125,0.000044208,1000
100,tag,add,nata,s,2026-03-15 12:53:43Z,3.417e-6,3.417e-6,3.458e-6,1000
100,tag,add,tinyecs,s,2026-03-15 12:53:46Z,2.542e-6,2.542e-6,2.583e-6,1000
100,tag,add,concord,kb,2026-03-15 12:54:11Z,19.5859,19.5859,19.5859,405
100,tag,add,concord-no-serialize,kb,2026-03-15 12:54:32Z,19.5859,19.5859,19.5859,100
100,tag,add,ecs-lua-batch,kb,2026-03-15 12:54:49Z,51.5313,51.5313,51.5313,127
100,tag,add,ecs-lua-nobatch,kb,2026-03-15 12:55:16Z,51.5313,51.5313,51.5313,100
100,tag,add,evolved-batch,kb,2026-03-15 12:55:42Z,0.3672,0.3672,0.3672,100
100,tag,add,evolved-nobatch,kb,2026-03-15 12:55:48Z,0.0001,0.0001,0.0001,817
