entities,group,test,framework,unit,timestamp,median,ci_lower,ci_upper,rounds
100,system,overlap,nata,s,2026-02-13 23:29:17Z,7.5e-7,7.5e-7,7.5e-7,100
100,system,overlap,tinyecs,s,2026-02-13 23:29:18Z,9.17e-7,8.75e-7,9.79e-7,100
100,system,overlap,concord,kb,2026-02-13 23:29:20Z,0.0001,0.0001,0.0001,100
100,system,overlap,ecs-lua,kb,2026-02-13 23:29:27Z,53.8125,53.8125,53.8125,100
100,system,overlap,lovetoys,kb,2026-02-13 23:29:31Z,0.0001,0.0001,0.0001,100
100,system,overlap,nata,kb,2026-02-13 23:29:34Z,0.0001,0.0001,0.0001,100
100,system,overlap,tinyecs,kb,2026-02-13 23:29:36Z,0.0001,0.0001,0.0001,100
100,system,fragmented,concord,s,2026-02-13 23:29:37Z,5e-7,4.58e-7,5.42e-7,100
100,system,fragmented,ecs-lua,s,2026-02-13 23:29:43Z,0.000013833,0.000013667,0.000014,100
100,system,fragmented,lovetoys,s,2026-02-13 23:29:45Z,7.92e-7,7.5e-7,7.92e-7,100
100,system,fragmented,nata,s,2026-02-13 23:29:47Z,4.58e-7,4.58e-7,4.58e-7,100
100,system,fragmented,tinyecs,s,2026-02-13 23:29:48Z,4.17e-7,4.17e-7,4.58e-7,100
100,system,fragmented,concord,kb,2026-02-13 23:29:49Z,0.0001,0.0001,0.0001,100
100,system,fragmented,ecs-lua,kb,2026-02-13 23:29:56Z,12.3281,12.3281,12.3281,100
100,system,fragmented,lovetoys,kb,2026-02-13 23:29:59Z,0.0001,0.0001,0.0001,100
100,system,fragmented,nata,kb,2026-02-13 23:30:01Z,0.0001,0.0001,0.0001,100
100,system,fragmented,tinyecs,kb,2026-02-13 23:30:02Z,0.0001,0.0001,0.0001,100
100,system,chained,concord,s,2026-02-13 23:30:03Z,2.1875e-6,2.125e-6,2.333e-6,100
100,system,chained,ecs-lua,s,2026-02-13 23:30:11Z,0.000025021,0.000024896,0.0000264375,100
100,system,chained,lovetoys,s,2026-02-13 23:30:16Z,4.25e-6,4.1875e-6,4.25e-6,100
100,system,chained,nata,s,2026-02-13 23:30:18Z,1.458e-6,1.417e-6,1.458e-6,100
100,system,chained,tinyecs,s,2026-02-13 23:30:20Z,1.208e-6,1.208e-6,1.292e-6,100
100,system,chained,concord,kb,2026-02-13 23:30:23Z,0.0001,0.0001,0.0001,100
100,system,chained,ecs-lua,kb,2026-02-13 23:30:32Z,71.2266,71.2266,71.2266,100
100,system,chained,lovetoys,kb,2026-02-13 23:30:37Z,0.0001,0.0001,0.0001,100
