entities,group,test,framework,unit,timestamp,median,ci_lower,ci_upper,rounds
100,component,add,evolved-batch,kb,2026-03-15 15:40:29Z,0.3984,0.3984,0.3984,100
100,component,add,evolved-nobatch,kb,2026-03-15 15:40:37Z,0.0001,0.0001,0.0001,621
100,component,add,lovetoys-batch,kb,2026-03-15 15:40:45Z,51.5625,51.5625,51.5625,320
100,component,add,lovetoys-nobatch,kb,2026-03-15 15:41:09Z,43.75,43.75,43.75,100
100,component,add,nata,kb,2026-03-15 15:41:33Z,10.1563,10.1563,10.1563,100
100,component,add,tinyecs,kb,2026-03-15 15:41:38Z,12.2813,12.2813,12.2813,139
100,component,remove,concord,s,2026-03-15 15:41:43Z,0.000061417,0.000061208,0.000061542,429
100,component,remove,concord-no-serialize,s,2026-03-15 15:42:12Z,0.000060375,0.000060333,0.0000605,491
100,component,remove,ecs-lua,s,2026-03-15 15:42:37Z,0.00010375,0.000103521,0.000104,386
100,component,remove,evolved-batch,s,2026-03-15 15:43:09Z,5.333e-6,5.333e-6,5.333e-6,162
100,component,remove,evolved-nobatch,s,2026-03-15 15:43:17Z,0.000068208,0.000068167,0.00006825,1000
100,component,remove,lovetoys,s,2026-03-15 15:43:26Z,0.000069292,0.00006925,0.000069396,558
100,component,remove,nata,s,2026-03-15 15:43:48Z,0.000019958,0.000019917,0.000019958,1000
100,component,remove,tinyecs,s,2026-03-15 15:43:53Z,0.000010792,0.000010792,0.000010833,1000
100,component,remove,concord,kb,2026-03-15 15:44:04Z,6.9609,6.9609,6.9609,100
100,component,remove,concord-no-serialize,kb,2026-03-15 15:44:34Z,6.9609,6.9609,6.9609,100
100,component,remove,ecs-lua,kb,2026-03-15 15:44:59Z,27.4688,27.4688,27.4688,100
100,component,remove,evolved-batch,kb,2026-03-15 15:45:38Z,0.3984,0.3984,0.3984,100
100,component,remove,evolved-nobatch,kb,2026-03-15 15:45:46Z,0.0001,0.0001,0.0001,620
100,component,remove,lovetoys,kb,2026-03-15 15:45:55Z,21.875,21.875,21.875,332
100,component,remove,nata,kb,2026-03-15 15:46:18Z,0.0001,0.0001,0.0001,100
100,component,remove,tinyecs,kb,2026-03-15 15:46:23Z,2.125,2.125,2.125,152
100,tag,has,concord,s,2026-03-15 15:46:28Z,0.000014,0.000014,0.000014042,432
100,tag,has,concord-no-serialize,s,2026-03-15 15:46:56Z,0.000014042,0.000014,0.000014042,524
100,tag,has,ecs-lua,s,2026-03-15 15:47:21Z,0.000019667,0.000019625,0.000019917,391
100,tag,has,evolved,s,2026-03-15 15:47:53Z,7.458e-6,7.458e-6,7.5e-6,156
